,id,cellIndex,name,profile,timezone,isActive,lastWeatherStationActivity,current_weather
263,a8188440-d813-11ec-90b0-4f669f2d96bd,8729a110affffff,Modern Cerise Fahrenheit,M5,America/Los_Angeles,True,2024-06-01T11:35:18-07:00,"{'timestamp': '2024-06-01T11:35:18-07:00', 'temperature': 17.4, 'humidity': 82, 'wind_speed': 0, 'wind_gust': 0, 'wind_direction': 339, 'solar_irradiance': 262.5655737704918, 'uv_index': 2, 'precipitation': 0, 'pressure': 950.72, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 14.295062052473876, 'feels_like': 17.4}"
264,e39e3c20-1dce-11ed-960b-b351f0b0cc44,871ea2a69ffffff,Exotic Holographic Sandstorm,M5,Europe/Rome,True,2024-06-01T20:35:36+02:00,"{'timestamp': '2024-06-01T20:35:36+02:00', 'temperature': 22.3, 'humidity': 65, 'wind_speed': 0.52, 'wind_gust': 0.51, 'wind_direction': 294, 'solar_irradiance': 6.090163934426229, 'uv_index': 0, 'precipitation': 0, 'pressure': 1008.41, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 15.40363629791978, 'feels_like': 22.3}"
265,ec37d320-d844-11ec-960f-d7d4cf200cc9,871e8328bffffff,Quiet Ecru Altostratus,M5,Europe/Rome,False,2024-05-24T14:46:57+02:00,"{'timestamp': '2024-05-24T14:46:57+02:00', 'temperature': 24.2, 'humidity': 61, 'wind_speed': 0, 'wind_gust': 0, 'wind_direction': 88, 'solar_irradiance': 0.06557377049180328, 'uv_index': 0, 'precipitation': 0, 'pressure': 1015.02, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 16.205466438158126, 'feels_like': 24.2}"
266,c9937920-4e0d-11ed-960b-b351f0b0cc44,871eec194ffffff,Sweet Inky Altocumulus,M5,Europe/Bucharest,True,2024-06-01T21:35:08+03:00,"{'timestamp': '2024-06-01T21:35:08+03:00', 'temperature': 25.7, 'humidity': 50, 'wind_speed': 1.03, 'wind_gust': 1.02, 'wind_direction': 244, 'solar_irradiance': 0, 'uv_index': 0, 'precipitation': 0, 'pressure': 992.1, 'icon': 'partly-cloudy-night', 'precipitation_accumulated': 0, 'dew_point': 14.50055456353925, 'feels_like': 25.7}"
267,8e92f5a0-bf53-11ed-8a70-d7d4cf200cc9,871f83ad2ffffff,Fit Rouge Drizzle,Helium,Europe/Zurich,True,2024-06-01T20:34:07+02:00,"{'timestamp': '2024-06-01T20:34:07+02:00', 'temperature': 14.1, 'humidity': 95, 'wind_speed': 0, 'wind_gust': 0, 'wind_direction': 114, 'solar_irradiance': 11.172131147540984, 'uv_index': 0, 'precipitation': 0, 'pressure': 967.5, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 4.317999999999984, 'dew_point': 13.31067145299348, 'feels_like': 14.1}"
268,7d9c4d90-d8d2-11ec-a651-5fda0296159f,87275814bffffff,Melted Blood Halo,M5,America/Chicago,True,2024-06-01T13:35:49-05:00,"{'timestamp': '2024-06-01T13:35:49-05:00', 'temperature': 15.4, 'humidity': 99, 'wind_speed': 1.03, 'wind_gust': 1.02, 'wind_direction': 8, 'solar_irradiance': 101.94262295081967, 'uv_index': 0, 'precipitation': 2.48, 'pressure': 983.6, 'icon': 'drizzle', 'precipitation_accumulated': 16.50999999999999, 'dew_point': 15.243386247062059, 'feels_like': 15.4}"
269,9d5a6fc0-5057-11ed-960f-d7d4cf200cc9,872da24f0ffffff,Snap Vanilla Water,M5,Asia/Beirut,True,2024-06-01T21:35:40+03:00,"{'timestamp': '2024-06-01T21:35:40+03:00', 'temperature': 22.8, 'humidity': 83, 'wind_speed': 0, 'wind_gust': 0, 'wind_direction': 122, 'solar_irradiance': 0, 'uv_index': 0, 'precipitation': 0, 'pressure': 1006.28, 'icon': 'partly-cloudy-night', 'precipitation_accumulated': 0, 'dew_point': 19.76105838173113, 'feels_like': 22.8}"
270,18604800-1d47-11ed-960f-d7d4cf200cc9,871faea35ffffff,Wild Daffodil Feet,M5,Europe/Berlin,False,2024-03-20T20:36:43+01:00,"{'timestamp': '2024-03-20T20:36:43+01:00', 'temperature': 21, 'humidity': 50, 'wind_speed': 0, 'wind_gust': 0, 'wind_direction': 284, 'solar_irradiance': 0, 'uv_index': 0, 'precipitation': 0, 'pressure': 996.41, 'icon': 'partly-cloudy-night', 'precipitation_accumulated': 0, 'dew_point': 10.18097845789161, 'feels_like': 21}"
271,3662ccd0-4f86-11ed-960f-d7d4cf200cc9,872af60e6ffffff,Brief Zaffre Microburst,M5,America/New_York,True,2024-06-01T14:35:48-04:00,"{'timestamp': '2024-06-01T14:35:48-04:00', 'temperature': 25.9, 'humidity': 34, 'wind_speed': 0.84, 'wind_gust': 1.02, 'wind_direction': 356, 'solar_irradiance': 54.01639344262295, 'uv_index': 0, 'precipitation': 0, 'pressure': 1020.9, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 8.839705553463604, 'feels_like': 25.9}"
272,9ee6cc20-5107-11ed-960f-d7d4cf200cc9,873964431ffffff,Humid Iceberg Hydrosphere,M5,Europe/Paris,True,2024-06-01T20:35:54+02:00,"{'timestamp': '2024-06-01T20:35:54+02:00', 'temperature': 16.3, 'humidity': 82, 'wind_speed': 0, 'wind_gust': 0, 'wind_direction': 117, 'solar_irradiance': 16.049180327868854, 'uv_index': 0, 'precipitation': 0, 'pressure': 1004.69, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 13.221079794674324, 'feels_like': 16.3}"
